Attacker,Fast Move,Fast Type,Charged Move,Charged Type,Level,Landorus (Therian),Landorus,Arceus,Arceus (Bug),Arceus (Dark),Arceus (Dragon),Arceus (Electric),Arceus (Fairy),Arceus (Fighting),Arceus (Fire),Arceus (Flying),Arceus (Ghost),Arceus (Grass),Arceus (Ground),Arceus (Ice),Arceus (Poison),Arceus (Psychic),Arceus (Rock),Arceus (Steel),Arceus (Water),Articuno (Galarian),Shadow Articuno,Articuno,Shadow Azelf,Azelf,Calyrex,Calyrex (Ice Rider),Calyrex (Shadow Rider),Celebi,Shadow Celebi,Chien-Pao,Chi-Yu,Shadow Cobalion,Cobalion,Cosmoem,Cosmog,Shadow Cresselia,Cresselia,Shadow Darkrai,Darkrai,Dialga (Origin),Shadow Dialga,Dialga,Diancie,Shadow Entei,Entei,Eternatus,Eternatus (Eternamax),Glastrier,Shadow Groudon,Groudon,Shadow Heatran,Heatran,Shadow Ho-Oh,Ho-Oh,Jirachi,Shadow Jirachi,Keldeo,Koraidon,Kubfu,Shadow Kyogre,Kyogre,Kyurem (Black),Kyurem (White),Kyurem,Shadow Latias,Latias,Shadow Latios,Latios,Shadow Lugia,Lugia,Lunala,Magearna,Manaphy,Shadow Manaphy,Marshadow,Melmetal,Shadow Melmetal,Meloetta (Aria),Meloetta (Pirouette),Meltan,Shadow Meltan,Shadow Mesprit,Mesprit,Mew,Shadow Mewtwo,Mewtwo,Mewtwo (Armored),Miraidon,Moltres (Galarian),Shadow Moltres,Moltres,Necrozma,Necrozma (Dawn Wings),Necrozma (Dusk Mane),Necrozma (Ultra),Palkia (Origin),Shadow Palkia,Palkia,Phione,Shadow Phione,Shadow Raikou,Raikou,Shadow Rayquaza,Rayquaza,Shadow Regice,Regice,Shadow Regigigas,Regigigas,Shadow Regirock,Regirock,Shadow Registeel,Registeel,Shadow Reshiram,Reshiram,Shaymin (Land),Shaymin (Sky),Solgaleo,Spectrier,Shadow Suicune,Suicune,Shadow Terrakion,Terrakion,Ting-Lu,Urshifu (Rapid Strike),Urshifu (Single Strike),Shadow Uxie,Uxie,Victini,Shadow Victini,Shadow Virizion,Virizion,Volcanion,Wo-Chien,Zacian (Crowned Sword),Zacian (Hero),Zamazenta (Crowned Shield),Zamazenta (Hero),Zapdos (Galarian),Shadow Zapdos,Zapdos,Zarude,Shadow Zekrom,Zekrom,Zeraora,Zygarde,Zygarde (Complete),Zygarde (Fifty Percent),Zygarde (Ten Percent),Deoxys,Deoxys (Attack),Deoxys (Defense),Deoxys (Speed),Genesect,Genesect (Burn),Genesect (Chill),Genesect (Douse),Genesect (Shock),Giratina (Altered),Giratina (Origin),Regidrago,Regieleki,Tapu Bulu,Tapu Fini,Tapu Koko,Tapu Lele,Thundurus,Thundurus (Therian),Tornadus,Tornadus (Therian),Xerneas,Yveltal,Blacephalon,Naganadel,Poipole,Stakataka,Buzzwole,Celesteela,Guzzlord,Kartana,Nihilego,Pheromosa,Xurkitree,Hoopa (Confined),Hoopa (Unbound),Mega Steelix,Mega Audino,Mega Camerupt,Mega Gallade,Mega Garchomp,Mega Heracross,Mega Lucario,Mega Mawile,Mega Metagross,Mega Sableye,Mega Sharpedo,Mega Tyranitar,Mega Abomasnow,Mega Absol,Mega Aerodactyl,Mega Aggron,Mega Alakazam,Mega Altaria,Mega Ampharos,Mega Banette,Mega Beedrill,Mega Blastoise,Mega Blaziken,Mega Charizard X,Mega Charizard Y,Mega Gardevoir,Mega Gengar,Mega Glalie,Mega Gyarados,Mega Houndoom,Mega Kangaskhan,Mega Lopunny,Mega Manectric,Mega Medicham,Mega Pidgeot,Mega Pinsir,Mega Salamence,Mega Sceptile,Mega Scizor,Mega Slowbro,Mega Swampert,Mega Venusaur,Mega Diancie,Primal Groudon,Primal Kyogre,Mega Mewtwo X,Mega Mewtwo Y,Mega Rayquaza,Mega Latias,Mega Latios
Excadrill,Metal Claw or Mud-Slap,Ground or Steel,Return,Normal,40,,,,,,,3.590813,3.6381311,,3.5895355,,,,,,3.5901191,,,4.106326,,,,,,,,,,,,,,6.5917726,3.8777688,,,,,,,3.8511147,5.9526825,3.6563299,,,,,,,,,4.427055,2.7694662,,,3.6442728,5.9690576,,,,,,,,,,,,,,,,,,,,3.359619,5.3966384,,,1.759522,2.6445756,,,,,,,3.4306605,,,,,,,,,,,,,4.905558,2.9360998,,,,,,,,,,,5.69862,,,,,,,,,,,,,,,,,,,,,,3.7167914,5.0572724,,,,,,5.3379407,3.2858875,2.6349735,,,,,,,,,,,,,,,,,1.9901336,,,2.7980456,,,,,,2.9936798,,,2.4648757,1.996949,3.2875364,,,,,,,2.379271,,,,2.1483164,,,,,,,,,,,,,,3.234753,,2.100355,1.9352257,,,,,,,2.2485323,,,,,,,1.739313,,,,,,,,,,4.403991,,,,,,,
Lugia,Extrasensory,Psychic,Aeroblast++,Flying,40,,,,,,,,,2.7789288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.215515,,1.3286034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0052845,,,,,,3.105384,1.8505129,,,,,,2.750312,2.2346194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5719156,,,,,0.7766364,,,,,,,1.7856653,,1.087167,,,,,,,,,,,,,,,,,1.2511358,,,,,,,,,1.5275848,,,,,,,,,,1.6578803,,,,4.753561,,,,
Aerodactyl,Rock Throw or Steel Wing,Rock or Steel,Hyper Beam,Normal,40,,,,,,,,,,,,,,,,,,,,,,,3.1557825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2473383,3.161582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.545101,6.1344967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6199155,,,,,,,,,,,1.7770128,,,,,,,,,,,,,,
Hawlucha,Low Kick or Wing Attack,Fighting or Flying,Sky Attack,Flying,40,,,5.504641,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.240461,,,,,,,,6.6888123,4.2491794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.13352,4.8283963,,,,,,,,,,,,,,,,,,,,,,3.4939873,2.121724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2510195,1.8137157,,,,,0.91259265,,,,,,,,,1.2838569,2.2490618,,,,,3.2237878,,,,,,,,,,,,,,,,,,,2.536439,,,,,,,,,,,,,,,,,,,
Dialga,Dragon Breath or Metal Claw,Dragon or Steel,Thunder,Electric,40,,,,,,4.1247435,,3.803916,,,,,,,3.80794,,,,,,,,,,,,3.829726,,,,,,,,,,,,,,,,,3.200944,,,3.2610257,7.1935945,,,,,,,,,,,,,,,3.335532,3.4456031,2.9772358,6.731157,4.090246,6.179395,3.554631,,,,,,,,,,,,,,,,,,,,3.7248135,,,,,,,,3.3890078,5.8303776,3.3530338,,,,,,,,,,,,,,,6.3561754,3.7038891,,,,,,,,,,,,,,,,,,,,,3.9173934,,,,,,,6.385869,3.7092872,,,,,,,,,,,,,,,,3.2848458,1.9102837,,,,,3.4829712,,,,,2.9775562,,,2.8509269,,,,,,,,,,,,,2.2165513,,,,,,,,,,,,,1.7463505,,,2.3961039,2.18258,,,,,2.203285,,2.1924245,,,,,,,,,,,,,,,,,4.030813,,,,,,7.3638015,6.214299
Unfezant,Air Slash,Flying,Return,Normal,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.913753,2.9724512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6084995,,,,,1.3529778,,,,,,,,,1.8475307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gardevoir,Charm or Confusion,Fairy or Psychic,Return,Normal,40,,,,,,,,,,,,,,,,3.9263604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5555966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6773984,5.8878746,3.4961233,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0419836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2405331,,,,,,,,,,,,,,,,2.4550364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.9724345,,,,
Aggron,Iron Tail or Smack Down,Rock or Steel,Thunder,Electric,40,,,,,,,,,,,,,,,,,,,,,,4.653946,2.8639812,,,,,,,,,,,,,,,,,,,,,3.611603,,,,,,,,,,5.1199355,3.0888648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.354266,5.646321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6874473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6323047,,,,,,,,,,,,,,,,,,4.776663,,,,,,,
Shadow Gardevoir,Charm,Fairy,Frustration,Normal,40,,,,,4.0252485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5933313,,,,,,,,,,,,,,,,,,,2.2818599,,,,3.3144867,3.166845,2.8418887,,,5.7531223,,,,,,,,,,,,,,,,,,,,,,3.727743,,,,,,,3.720427,6.105549,3.5336893,,,,,,,,,,,,,,,,,,,,,,,,,3.3738918,,1.7693399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.123009,,,,,,,1.1053731,,,,,,,,,,,,,,,,2.0275996,,,,1.4186738,,,,,,,,,,,,,,,2.417004,,,,,,,,,,,,,,,,,,,,,
Flygon,Mud Shot,Ground,Earth Power,Ground,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7428672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.977813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zacian (Hero),Metal Claw or Quick Attack or Snarl,Dark or Normal or Steel,Play Rough,Fairy,40,,,,,3.1458316,3.14601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.344957,2.656272,,,,3.7526233,,,,,,,,,,,,,,,2.003454,,,,2.3901854,2.3688955,2.2019613,4.899439,,4.2412486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0543113,4.7891693,2.886215,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6033176,,,,,,,,,,,,,,,,,4.724123,,,,,,,,,,,,,,,,,2.2780886,,,,,,,,,,,,,,,,,,,0.94700724,,,,,,,,,,,,,,,,1.6824634,,,,1.1071256,,,,1.6239816,,,,,,,,,,,,,,,,,,,,,,,,,5.0292916,,,4.6843114,,,5.271734,4.3938584
Shadow Mamoswine,Mud-Slap or Powder Snow,Ground or Ice,Avalanche,Ice,40,1.4068589,1.4114727,,,,2.6165805,3.2995582,,,4.0620794,2.6235971,,2.6142466,2.6118193,,3.2907944,,3.3021884,4.0603275,,2.18149,,,,,,,,,,,3.9965284,,3.8843307,,,,,,,3.3296332,5.1270585,3.0889144,,5.2751255,,2.0582411,5.127469,,5.149151,2.9623554,3.9266882,2.4691172,,,3.618427,5.9269586,,,,,,,,,4.2600694,2.6252365,4.0405235,2.5764825,5.8408294,3.2487578,,3.5951529,,,,3.1678727,,,,1.6247587,2.5255997,,,,,,,2.3308055,2.4234664,,,,,3.517881,2.1527653,,,,,,4.1485567,2.5449286,2.0585358,1.1838014,,,,,,3.9675314,7.478783,4.36447,5.180187,,,1.5188717,,,,,,,2.1614487,,,,,,,,,,,4.374874,,,,,3.1151145,1.941881,,4.055109,2.1523228,2.2120678,1.5546299,1.4029568,1.5546299,1.1899078,,,,,,,,,,2.284695,2.1148367,1.1807094,1.7000111,,,2.4510713,,1.7504903,1.9095398,1.9059129,2.2680945,,2.2145672,2.9548368,1.7046003,1.7618797,3.2674737,,,,,2.2774365,,2.0637984,,,2.591074,,,,1.0577114,,,2.1508117,,,,,,,1.4529332,3.3354015,,1.462128,1.305722,,,,,,,,1.7994025,,,2.1420603,,,1.4907968,,1.2306298,,1.2851483,0.8069818,,,,,,,,,,2.3619795,4.7561707,4.2390437
Alakazam,Confusion,Psychic,Focus Blast,Fighting,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8612528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shadow Tangela,Vine Whip,Grass,Sludge Bomb,Poison,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0587163,,,,,,,,,
Beartic,Charm or Powder Snow,Fairy or Ice,Liquidation,Water,40,3.3863883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.1413836,4.249023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.716528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5623125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.25084,,
Shadow Venusaur,Razor Leaf or Vine Whip,Grass,Frustration,Normal,40,,,,,,,,,,,,,,4.915135,,,,,,4.916039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.539789,4.454849,,,,,,,3.6574144,,,7.402784,4.3642282,,,,,,,,,,,,3.9727545,6.560604,,,,,,,,,,,,,,,,,,,,,,,,,2.9417865,4.831525,,,,,,,,,8.943902,5.741604,,,,,,,,,7.167093,4.488298,,,3.9950216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8719215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7435359,,,,,,,,,,,2.8126185,,,,,,,2.8059855,,,,,,,,,,,3.086069,1.6375039,,,,7.979885,,,,,
Pinsir,Bug Bite,Bug,Return,Normal,40,,,,,,,,,,,,,,,,,,,,,,,,,,2.3452303,,,2.9840229,5.0108886,,,,,4.06901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2613468,,,,,,,,2.9901252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.111326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shadow Staraptor,Gust,Flying,Close Combat,Fighting,40,,,,4.293161,,,,,3.8757083,,,,3.8517191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2627158,,1.8829628,,,,,,,,,,,,,,,,3.5430992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3105874,3.0949054,,,,,,,,3.0451348,,,,,,4.385996,2.4903378,,,,,,3.8398638,3.7038913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2108817,,,,,1.1696252,,,,,,,2.7502658,,1.6337895,,,,,,,,,,,,,,,1.6766129,,1.9110062,,,,,,,,,2.0905821,,2.0228498,,,,,,,,2.6143308,,,,,,,,
Shadow Aerodactyl,Rock Throw,Rock,Frustration,Normal,40,,,,,,,,,,4.335166,4.3297725,,,,,,,,,,,4.5484986,2.7848864,,,,,,,,,3.9067986,,,,,,,,,,,,,4.8247576,2.9982007,,,,,,,,4.3879085,2.6547463,,,,,,,,,,,,,,,,5.035901,,,,,,,,,,,,,,,,,,,3.8900018,3.327807,1.999534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7777917,,,,,,,,3.4990902,,,,,,,,,,,,,,,,,,,,,,,,,,3.1042352,,2.9594727,3.4141986,,3.3291245,2.803541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.170594,1.4104458,,,,,,,,,,1.8169159,1.4840496,,,,,,,,,,,,,,
Shadow Raikou,Thunder Shock or Volt Switch,Electric,Thunder,Electric,40,,,,,,,,,,,3.1449766,4.937584,,,,,4.8855677,,,3.160058,2.6291602,,,,3.3109896,,,,,,,,,,,,,4.8153167,,,,,,,,,,,,,,,,,,,,2.4800475,,,5.2518773,2.9268613,,,,,,,,6.3692927,3.8024213,4.167543,,2.642708,4.408279,,,,,,,,7.196651,4.1689434,4.0374928,6.633002,3.9305334,5.1791577,,2.9408033,,,3.7985473,,,,,,,2.0540278,3.3069541,,,,,,,,,,,,,,,,,,3.3833857,4.8747034,2.9924512,,,,2.4133782,,,4.936546,,,,,2.993052,,,,,,2.4269114,,,,,,,,,,,2.6054819,1.3073356,6.161708,4.284348,,,,,,,,,,,3.2115557,,4.208743,,,2.1636627,2.4124398,,2.4295297,,,,,,2.5523186,,,,,,,,,,,,,,,,,,1.1935437,,,,1.6835997,,2.7558966,,,2.0259295,,1.8513706,,,,,,,1.9362967,,,,,,1.3864491,,,,,1.941937,,,,,5.625276,,8.248438,,,
Buzzwole,Counter,Fighting,Fell Stinger,Bug,40,,,4.4890122,,3.5002768,,,,,,,,,,,,,,,,,,,,,,,,,,2.0476136,,,,,,,,4.8385844,2.9062119,4.0475883,6.7627873,4.052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.892203,4.178778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0288916,,1.2115713,,,,,,,,,,,,,,,,,2.295767,,,,,,,,,,,,,,,,,,,
Typhlosion,Incinerate,Fire,Return,Normal,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5920062,2.569761,2.5735977,2.624545,2.598287,,,,,,,,,,,,,,,,,,,,,,2.4766939,,,,,,,,,,,,,,,,,,1.4378574,,,,,,,,,,,,,,,,,,,,,,,,,,1.8880513,,,,,,,,,,,
Darmanitan (Galarian Standard),Ice Fang,Ice,Avalanche,Ice,40,1.8561035,1.5974755,,,,3.0517786,,,,,3.0392275,,,3.0429544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.079941,,,,,,,,,,,,,,,,,,,,2.7739148,,,,,,,,,,,,,,2.3459046,1.3782192,,,,,,,,,,,,1.4582901,,,,,,,2.442905,,,,,,,,,,,,,,,,4.1684756,2.4139667,,,,,1.7620758,1.555762,1.7620758,1.339211,,,,,,,,,,,,1.342991,,,,,,2.01251,2.250595,2.1841354,,,,,,,,,,,,,,,,,,,,,1.2042967,,,,,,,,,,,,,1.671379,,,,,,,,,,,,,,,,,,,1.3401815,0.9179379,,,,,,,,,,3.0480697,,
Palkia (Origin),Dragon Tail,Dragon,Hydro Pump,Water,40,,,,,,3.5774627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.070333,7.1227617,,,3.1763272,,,,,,,,3.5833988,,,,3.104467,2.968946,2.9385192,6.2011824,3.7822933,5.4680967,3.267811,,,,,,,,,,,,,,,,,,,,3.519978,,,,,,,2.950963,3.4961853,5.7435207,3.491635,,,,,,2.735567,,,,,,,,,4.87936,3.0107505,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8113766,3.261803,,3.0928566,2.763336,3.0928566,2.3496585,,,,,,,,,,3.2548857,2.9902146,1.7159603,,,,,,,,,,,,,2.6165912,,,,,1.6105857,,,,,,,,,1.213542,,1.9167037,,,,,2.1670394,,,,,,,,,1.903742,,,,,1.6529326,,,,,,,,,,,,,2.2927523,1.82458,,,,,,4.4551125,,,,,7.128215,5.8977404
Gengar,Lick or Shadow Claw,Ghost,Dark Pulse,Dark,40,,,,,,,,,,,,3.7492652,,,,,,,,,,,,4.0199804,,,,,,,,,,,3.1543093,,,3.8194277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.359997,3.2921567,3.0706005,,3.0366187,4.0780053,,,,,2.591541,1.8671857,2.9335423,2.682248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6828647,3.177221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6844488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shadow Sudowoodo,Rock Throw,Rock,Trailblaze,Grass,40,,,,,,,,,,,,,,,,,,,,,,5.5165377,3.1712394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8520875,3.489755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.207336,2.5458214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8859907,,,,,,,,,,,,,,,,,,,,,,,,,
Shadow Mismagius,Hex or Sucker Punch,Dark or Ghost,Dazzling Gleam,Fairy,40,,,,,,,,,,,,5.0670652,,,,,5.037872,,,,,,,,,,,,,,,,,,4.2904153,1.2509521,8.4438925,5.3213725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6258326,4.575388,7.0524244,4.200331,5.541175,,,,,3.7613328,3.5131924,5.4909267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.420095,5.3663707,,,,,,,,,,,,,,,,,,,,,,2.7957318,,6.3646407,4.5822487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6492896,,,,,,,,,,,,,,,,
Shadow Mismagius,Hex or Sucker Punch,Dark or Ghost,Frustration,Normal,40,,,,,,,,,,,,6.161427,,,,,6.2498455,,,,,,,,,,,,,,,,,,5.6784306,1.6944865,10.661834,6.8931203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.090772,6.0715294,9.132783,5.5476894,6.9556456,,,,,5.0990005,3.5699081,5.604413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.443704,6.837179,,,,,,,,,,,,,,,,,,,,,,3.7052457,,8.723934,6.01526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0680778,,,,,,,,,,,,,,,,
Shadow Zapdos,Thunder Shock,Electric,Thunder,Electric,40,,,,4.8335075,,,,,4.837303,,2.9265368,,7.1191993,,,,,,,2.9396071,2.5282388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.340249,,2.2298646,5.638112,3.0797796,,,,,,,,6.227057,3.7429364,,,2.602126,4.332903,3.6629462,,,,,,,,,,,,,,2.732487,,,,,,,,,,1.978635,3.1700268,,,,,,,,,,,,,,,6.2929826,,,,4.6848574,2.8212783,,,,2.1179776,,,,,,11.814694,6.704908,2.8524466,,,,,4.594819,2.3987296,,,,,,,,,,,,,,,,,,,,,,,,,3.2235117,,,,,2.098729,2.3302255,,2.3565803,,,,,3.6614347,2.3284903,,,,1.86027,,,,,,,2.8773217,,2.5259054,,,,,1.17301,,,,1.6410633,,,,,,,1.7521266,2.2193766,,,,,,1.9033948,,,2.610673,,2.1638122,1.2967126,1.6217647,,,,1.954001,,,,,5.9570637,,,,,
Salamence,Dragon Tail,Dragon,Hydro Pump,Water,40,,,,,,3.9746695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.440074,,,,,,,,,,,,,,,,,,,3.987916,5.910428,3.5191288,,,,,,,,,,,,,,,,,,,,3.8597326,,,,,,,3.303316,3.830403,5.9174023,3.6297476,,,,,,,,,,,,,,,5.486908,3.3579712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6967297,,,,,,,,,,,,,,,3.6203887,3.2478216,1.8523227,,,,,,,,,,,,,2.765935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0011332,,,,,1.887671,,,,,,,,,,,,,,,,,,,,,,,,,,6.19245
Shadow Steelix,Iron Tail,Steel,Psychic Fangs,Psychic,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.057359,,,,,,,
Shadow Meganium,Magical Leaf or Vine Whip,Grass,Frenzy Plant,Grass,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2621064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0967385,,,,,,,,,
Shadow Crobat,Air Slash,Flying,Shadow Ball,Ghost,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9409986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
