Attacker,Fast Move,Charged Move,Level,"Arceus (Ground), Tier 5","Arceus (Ground), Tier 5","Arceus (Rock), Tier 5","Arceus (Rock), Tier 5","Groudon, Tier 5","Groudon, Tier 5","Regirock, Tier 5","Regirock, Tier 5","Terrakion, Tier 5","Terrakion, Tier 5","Boldore, Tier 3","Boldore, Tier 3","Claydol, Tier 3","Claydol, Tier 3","Donphan, Tier 3","Donphan, Tier 3","Golem, Tier 3","Golem, Tier 3","Golurk, Tier 3","Golurk, Tier 3","Graveler, Tier 3","Graveler, Tier 3","Hippowdon, Tier 3","Hippowdon, Tier 3","Marowak, Tier 3","Marowak, Tier 3","Nosepass, Tier 3","Nosepass, Tier 3","Onix, Tier 3","Onix, Tier 3","Piloswine, Tier 3","Piloswine, Tier 3","Rhydon, Tier 3","Rhydon, Tier 3","Stunfisk, Tier 3","Stunfisk, Tier 3","Sudowoodo, Tier 3","Sudowoodo, Tier 3"
Mega Blastoise,Water Gun,Hydro Cannon,50,0.9394461713879371,0.9618718244044475,0.9412026322113408,0.9642420345749292,0.9104293225010481,0.9026068216348555,0.8885243348442766,0.9075367712755076,0.9341049198060333,0.9647623470826762,0.9269002657930522,0.9923766071207814,0.9578205743131346,1.0341656796473382,0.9294449229033671,0.9831255669432347,0.924641586669546,0.9760858295610679,0.9371783823884232,1.007266363683286,0.9511523161443443,1.0044623978338916,0.963978360226469,1.024817600429308,0.930428765812582,0.9823177547882405,0.9266008330015578,0.9816338467174441,0.9181477783205806,0.9922680484740473,0.9294323481420025,1.0038106212208409,0.9287477122554646,0.9836418447939544,0.9600843932154045,1.030448597953956,0.9206029591433829,0.9930470054905837
Shadow Poliwrath,Bubble,Dynamic Punch or Hydro Pump,45,,,,,,,,,,,1.346105243231549,,1.3990778094958967,,1.4449320341070602,,1.3741025651131686,,1.4265204493512686,,1.3400686172693836,,1.388606349580951,,1.3711975398043366,,1.2346979428232265,,1.3073044871014279,,1.2184253388849993,,1.3665505303603744,,1.3695526970316438,,1.2189429193874364,
Shadow Blastoise,Water Gun,Hydro Cannon,45,1.219916170919401,1.2162516639138783,1.2192371125704884,1.2183401361875255,1.1830370403225838,1.1378382377588718,1.220338015598325,1.252857072799565,1.1989904544669148,1.2302679633509293,1.2244293175917913,1.2868136898875016,1.1946043071341839,1.273911538884531,1.2046679033695489,1.2623031518793801,1.2243612926514456,1.2677717330022227,1.2373044179441968,1.2821253849095686,1.2021651603480377,1.2770063346102234,1.2099376706578588,1.2679858069782104,1.190104760587145,1.260877837947931,1.1913308351179155,1.292856674434626,1.1551999480437367,1.2373217119397688,1.174960246844002,1.2501363787958553,1.2300802213015625,1.2673215494918513,1.2357314419017162,1.3435967029666624,1.1895480975296906,1.2545625257520139
Mega Gyarados,Waterfall or Bite,Hydro Pump,40,1.0558118808714154,1.078321841575305,1.0561753040207553,1.0814965195407678,1.0295847492658725,1.0083881619011228,1.0645499039182766,1.0677579876314651,1.0765122464414558,1.084560932951491,1.0676485814068488,1.1296867273457782,1.07384231477737,1.1295424625599624,1.0850263055543192,1.122632259224915,1.0474410684216675,1.1121689808104311,1.0903728974438103,1.1374834687145083,1.059200759958199,1.08528287964999,1.0628523885148058,1.116126336232716,1.0637377953076985,1.1162805577344113,1.0465002082437385,1.1113470955552098,1.0183348495202402,1.0629147368114422,1.039157788123394,1.0813998313954907,1.061966573642661,1.0853824480867622,1.0755001508326176,1.1400271249676046,1.0320845165037942,1.0804976327656979
Shadow Venusaur,Vine Whip,Frenzy Plant,35,1.4400639721744348,1.2309299296174678,1.4542038742339747,1.2339294169169153,1.2682068595182843,1.112496241651194,1.1586602218010391,1.1514005757521786,1.218992570600412,1.167966223149002,1.2100553220422796,1.1968942390901223,1.222417760065278,1.2187484985182395,1.1769485373457198,1.1843312222512306,1.2184363434575962,1.1782931534479162,1.2029474316522875,1.184317435718464,1.193552815415428,1.1864753390097247,1.2040234706462845,1.1916155648234927,1.143738707691367,1.1813516939684894,1.1180887654398663,1.1775952617000591,1.0925388800464548,1.1304741152273396,1.176123947170901,1.1849029256663022,1.2037320187976612,1.1752011709545818,1.1277941597145587,1.1953005968721448,1.177673860138117,1.1783621045127186
Latios,Dragon Breath or Zen Headbutt,Solar Beam,35,1.6337216074800005,1.6620099537741622,1.6403800889466413,1.6659319267627224,1.5612998051657438,1.5280680032997123,1.5295857380562194,1.5163261094016842,1.3916887608108424,1.3723554859058018,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sharpedo,Waterfall or Bite,Hydro Pump,45,,,,,,,,,,,,1.4281515599888737,,1.310765378708008,,1.4567878638550105,,1.470736749095877,,1.445701409711727,,1.3865780807209092,,1.4146811042056708,,1.348907178452592,,1.3087991393035547,,1.2352120966405595,,1.3290999419326996,,1.478502343530628,,1.389100670686324,,1.3784226283966743
Sceptile,Bullet Seed or Fury Cutter,Frenzy Plant,50,,1.2691334929744311,,1.2721947823731672,,1.1156018557063099,,1.168210985569068,,1.23355251133051,1.2176215385090863,1.251442294319446,1.1811267957242022,1.2318048560903108,1.1955784583671145,1.2202857508611114,1.1964946191168482,1.2188821247021386,1.1995594456303222,1.2278638585795716,1.1709497473036057,1.2398639464627108,1.1936470368947916,1.2398438797666764,1.175959311586423,1.229997579259753,1.168625816131221,1.2291597634521398,1.1182630562794253,1.1743252013185812,1.1991196732786849,1.2083762644921294,1.1834610386585396,1.1941407487613174,1.1946843165456158,1.249452644451908,1.162879956260103,1.2015679453907135
Shadow Poliwrath,Bubble,Dynamic Punch or Hydro Pump,40,,,,,,,,,,,1.277585107862529,,1.4810653833208158,,1.4863128986764709,,1.3927311472021766,,1.4748174292395106,,1.4050805275067704,,1.424237267880885,,1.4114077437437083,,1.261431357449878,,1.3017490827666138,,1.3521940000706687,,1.400663899539221,,1.4247987750100322,,1.248188835779185,
Shadow Samurott,Waterfall,Hydro Cannon,50,0.9991409056247375,1.0136059563237263,1.0015991538957594,1.0131310839578815,0.9752035325388478,0.9179129811822613,0.9600154882583551,0.9834389941168444,0.9564863805693535,0.9865852575881664,0.952975916367907,0.983790293917666,0.9760190930579928,1.0312068289005911,0.9624072453720378,0.9924253860261137,0.9871406607900556,1.0074543548772974,0.9888910919744296,1.0137993387702975,0.9456866629719739,1.0131339824507513,0.9768000763615237,1.0145198130345212,0.9503517412626094,0.9980626160141058,0.9639443026814424,1.0305777097658266,0.9394062182287212,0.9794683365256827,0.9353710377287954,0.9916334980813384,0.9662478827665888,0.9863223054030537,0.9682417233402725,1.016409675667536,0.9453541534022691,0.9822262525933317
Mega Blastoise,Water Gun,Hydro Cannon,30,1.1268668601779064,1.1308737292882076,1.1270201331010519,1.1307781879168401,1.1174574893030214,1.0690651355023355,1.0546289260472936,1.0762294627280165,1.1160364320081995,1.1475218078682476,1.1093264193658054,1.1655112266658425,1.1222095311359095,1.1875487711665342,1.0772542259495625,1.1317430398756383,1.1005311682861798,1.148354910912385,1.1049422906206685,1.1521222844225902,1.0821895225666087,1.175762978420719,1.128811969518524,1.1835314198358076,1.060330974179999,1.1171990320815233,1.0576118174430702,1.1490994572360742,1.0414242701649277,1.0888347996173955,1.0704301989043907,1.1255640186542846,1.0872831645423342,1.1121362225596128,1.11100907104208,1.1852765782097423,1.060999451280599,1.1267384161361498
Shadow Venusaur,Vine Whip,Frenzy Plant,40,1.2752123745653394,1.1800444375365637,1.2748646586653343,1.1833003177542674,1.1256962261633432,1.027387274076428,1.0576391675777372,1.0600283293634563,1.1657093735858859,1.13490186430907,1.1413263768698232,1.1463331762269748,1.1313638754956448,1.1361263917036506,1.128125385704932,1.147906055240517,1.1628162991213895,1.147870622141637,1.1455172807447886,1.1511394018181176,1.128501628752727,1.1598939211470232,1.146100684472831,1.1550687591928825,1.1103391768015307,1.138303127170661,1.0800525910216687,1.1410641354798778,1.0535497349896301,1.106496108771965,1.13819501513503,1.1354277100955936,1.1470731154274092,1.1267616501564715,1.1046674601497235,1.1739010760500217,1.0875165114405354,1.1088568324788284
Roserade,Razor Leaf,Grass Knot,45,1.3205205150864001,1.2508764666504348,1.3201472433921726,1.2520148758814207,1.2609167989738754,1.1337899462033498,1.1663577590349454,1.1700463792651454,1.2253544807423906,1.2061143543102257,1.2089479153789096,1.2246950526950178,1.230736424861486,1.24194156858372,1.1989363988148085,1.2276519178453655,1.236157371108401,1.2123361623680262,1.2202320131397524,1.2237015109137068,1.197096957512659,1.2157027690150717,1.2230382717042223,1.22621394905574,1.1787352906683524,1.2136065579312012,1.152863008875267,1.2060340668399214,1.1170169655345645,1.1661715062875195,1.227440161222152,1.2138709884941126,1.2105601850219427,1.217897593978654,1.1648012952512379,1.231208389248764,1.180521541197586,1.2027858328706806
Shaymin (Sky),Magical Leaf,Grass Knot,50,1.0081119053628464,1.031540522528304,1.0100086431807902,1.03264583527257,0.9168483277665538,0.9219464574813048,0.956657762184926,0.9746004841323187,0.9916741953640784,1.0119018886037356,0.9992668670416615,1.031550369328718,1.0072485573459349,1.0600281899501822,0.9753536402821933,1.0199723080109013,1.008850818989393,1.0296618038003484,0.9753807724490856,1.019151081163626,0.9905328646165997,1.0364230607332718,1.0117689943653312,1.0455445380841824,0.9739096489841373,1.0285096142733594,0.9658371857205585,1.0251775525620896,0.9427318393042444,0.9863720822952825,1.0121449474552437,1.0364305064960844,0.9688596499129944,1.0000272817798634,0.9886413990625965,1.0520905301189576,0.992877368347743,1.0143951147025347
Shadow Venusaur,Vine Whip,Frenzy Plant,30,1.5015765010017412,1.273074949294297,1.524190859348358,1.2724938863990731,1.330299280905625,1.1488061630012694,1.2020880060789514,1.1853526915124388,1.3233222092524533,1.2442251920243563,1.2685673831746815,1.2420521502966992,1.2819536911196028,1.2603316756015026,1.2424575424422635,1.2188635272521993,1.303831313115251,1.2485598751486333,1.287496509870921,1.266361692545924,1.2649674330716167,1.2374654841483055,1.299697560264349,1.270164771031925,1.2253674605429847,1.2573252364256815,1.1908229624936466,1.2603542498017661,1.1445267562816697,1.193200357772356,1.2644624060187992,1.253089007928893,1.2692929154622579,1.2361179622981247,1.1998224209490154,1.2724085221342092,1.2220413827918095,1.2122952086729986
Tapu Bulu,Bullet Seed,Grass Knot,30,1.4051707084401825,1.4022590719603516,1.4108745534120808,1.4029184918270556,1.4057890569243965,1.2841987927474685,1.321642348839108,1.32546347290282,1.36793130240524,1.3784241571624194,1.3642365403634564,1.3805555770181728,1.389952383155049,1.4190844721562663,1.382159696792143,1.3860476789797063,1.3740790075677254,1.376268953234512,1.3228671447482943,1.3948564636683807,1.3255022371310115,1.3634512005313422,1.3469225779830785,1.393058466922157,1.3195685314487475,1.3578357479778262,1.2921992866637677,1.3663744958020696,1.272093708469014,1.3245480449784606,1.3607594026521437,1.3836570321615782,1.3537112100061333,1.370312662065998,1.3279688831562717,1.391735700744102,1.2999244909762422,1.3509965117968366
Shadow Shiftry,Snarl or Razor Leaf,Leaf Blade,50,1.2178856408902068,1.186563800417903,1.2192334678845866,1.1870483017274325,1.1230032579021672,1.0707876590186012,1.1659639383472014,1.1294937746951006,1.271901584352782,1.202118335910763,1.156809478921993,1.1690519146371614,1.1010558211812076,1.1527986020569028,1.1729434920384383,1.1959211287613256,1.1550808846057645,1.1556098874098826,1.1253309062231907,1.1654031621202872,1.1423326187732643,1.1690224395698336,1.1947768417144362,1.1944906964456565,1.1021785048193866,1.153127580258929,1.1174351022456137,1.1908799751198282,1.070522127016827,1.1291876246675732,1.1492497169962186,1.179844986578129,1.1482309696073252,1.165134116972433,1.1284490239710134,1.2066756341652398,1.1444344394615722,1.146131283855991
Shadow Tangela,Vine Whip,Power Whip,35,,1.445577877164083,,1.4462481963000973,,1.260938385620585,,1.3147738924035253,,1.417015211866514,1.3610564887501544,1.3573517083384843,1.3690866250132034,1.3672596715898313,1.4231002058163575,1.3847582869875639,1.399705992772273,1.3698092024561275,1.412152012323187,1.3813708293183726,1.3691929805172678,1.3868159062479855,1.408564666410625,1.3847821103589366,1.3158912232802307,1.366227089188823,1.2974277940942314,1.3790216947275826,1.248911664324337,1.3041514868898778,1.4015153216978866,1.3899728835497047,1.3869876719813805,1.357080484081725,1.3107856694237132,1.3888869980623364,1.339964894886063,1.3213693532686406
Celebi,Confusion or Magical Leaf,Psychic or Leaf Storm,35,1.4084207266277198,,1.417512245784957,,1.3125881871325047,,1.321603065435626,,1.3576385948237832,,1.3728741384905427,,1.3741672394289766,,1.3772986866876107,,1.3453363104634415,,1.3652910798417746,,1.376759245264211,,1.3749192980451899,,1.35148429687515,,1.3271075749507857,,1.2732174536751175,,1.3711546991792278,,1.3355571415592364,,1.3408380515912302,,1.3346319823873762,
Greninja,Bubble,Hydro Cannon,40,1.1951320607028777,1.1860299956009417,1.1988566524413617,1.187576301619243,1.2506146059159957,1.122957130646567,1.1984859189645143,1.1646083137714165,1.2890837596063265,1.208158795838301,1.1827096597230806,1.1901256722091729,1.1615016973661507,1.2025710421996425,1.1987506027894181,1.2081025603848552,1.1889826162076729,1.185612686680523,1.1953740777716222,1.20090464290505,1.1737255341729278,1.1771867352947707,1.1738134088129915,1.1784274185971875,1.1519583374432727,1.1709086162791114,1.116554160066074,1.1932024348621433,1.0862921899899192,1.139741431633819,,,1.1922895513099503,1.1827492158418604,1.1580158031409378,1.1997546832407113,1.1572585344943178,1.1616161910770075
Shadow Gyarados,Waterfall,Aqua Tail or Hydro Pump,50,1.0859361493475672,1.0744201892261585,1.0870766295690395,1.0773129476459575,0.9560410435321318,0.9636783536923438,1.1513166737108813,1.0454607278151273,1.0470834026790887,1.0640315998673104,1.0707987506181234,1.0859421359253305,1.0130495119348566,1.0717290857625907,1.0056135390671013,1.049481421391595,1.0652746513064222,1.069380686174217,1.011852395102664,1.070514614963024,1.0395179617864758,1.06294169048985,1.051208969773313,1.0843813476456072,1.0184516806512203,1.0641058245678061,1.012525179135507,1.070955977765874,0.9667748292916806,1.0164251512247209,1.01654836641991,1.0509261231182547,1.0081339082410794,1.042433256798504,1.0332846164177942,1.0769183260883317,1.0562313232619425,1.055163523663002
Celebi,Magical Leaf,Psychic or Leaf Storm,50,1.285781048140217,,1.2846260866379244,,1.1612549776535035,,1.1390834929823033,,1.2027460237919707,,1.2162823355791814,1.2850105080974161,1.2291163248422479,1.288196144524325,1.2297359900880236,1.2906323656737406,1.2032528258748103,1.2629268746154627,1.2276237391467573,1.2932416767705768,1.2158070005216992,1.271378158298621,1.2329216625467019,1.2916684617136396,1.2036734223155099,1.2636793065201963,1.1990794575899089,1.266549777037533,1.1471249514700805,1.1996186563097968,1.229875899759167,1.2627145993066886,1.2048726803087577,1.2443888971391965,1.2100040792046398,1.27411408457883,1.214472192396898,1.2668144738004812
Shadow Cacturne,Sucker Punch,Grass Knot,45,,1.2515596082924811,,1.2538368351811173,,1.1764807439840064,,1.211596709198229,,1.3989025168592493,1.2503053915811595,1.2577440621523055,1.0820470093106422,1.094040437754828,1.3536471646605803,1.3056482878792257,1.3934429701498263,1.3799670348393898,1.187709566099045,1.137103707923268,1.345842576836877,1.333906389922265,1.2851648950442423,1.2800572410791926,1.2203286877392172,1.2285340500762814,1.1495023766124257,1.2088932247690196,1.2353102022903735,1.314435388709732,1.3084639491175298,1.2549185879653877,1.3712092803349587,1.3783332737080598,1.1818676116298341,1.2348552679267097,1.228240958210221,1.2174550944390943
Venusaur,Vine Whip,Frenzy Plant,50,1.3149920792496097,,1.315469864514077,,1.1611791289938025,,1.170116943220609,,1.2386820915845322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Breloom,Bullet Seed or Counter,Grass Knot or Dynamic Punch,35,1.8131510976472447,1.5393581422690785,1.609744585687213,1.3634070753999672,1.4832665313721694,1.3569051183711727,1.19316965029293,1.1898805514118163,1.334996988142614,1.3053241192218714,1.2142575951910002,1.241101341327729,1.4518181340673904,1.459579935066252,1.4715992544299763,1.4729546416352863,1.3851243251725918,1.385241433355228,1.4594401756947446,1.431748132450661,1.3159852884054366,1.3622329270796596,1.4189433699633147,1.4097798367997905,1.3265391609474941,1.366941373532706,1.1555036006679231,1.21465932162424,1.259749320581127,1.3186096542186527,1.2869167762389322,1.273651114386186,1.4047827533853217,1.389212166541368,1.325241328037617,1.3806080555077314,1.2095209319385356,1.2279264988746168
Palkia,Dragon Tail,Aqua Tail,30,1.552813898549078,,1.5618133693505032,,1.4027197084357528,,1.4627051041309842,,1.5137559462329533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shadow Shiftry,Snarl or Razor Leaf,Leaf Blade,35,1.398504262693546,1.3174623232637759,1.3999500869857042,1.3148989436501348,1.3125034311406878,1.229201606737288,1.3246116625445281,1.2628165301346095,1.4246558842247925,1.3701164032360496,1.2982787195574237,1.3068266704784275,1.2371110566445769,1.271503576397599,1.3536248348781412,1.3728535917225637,1.3129771450583496,1.3094146779001727,1.2762559596419825,1.3056626272019483,1.2944082288715855,1.302041128105614,1.3147984273735016,1.3142439946095978,1.269820096273531,1.287352388975835,1.224867188914383,1.3003822479761915,1.196348353373265,1.2523062993626284,1.3322092901912603,1.325773368566754,1.3352040226727035,1.3340445470285123,1.2520520790080676,1.3348645154520835,1.3034435630547645,1.293194547237914
Sceptile,Bullet Seed or Fury Cutter,Frenzy Plant,30,,1.4848308266503025,,1.4872596407576977,,1.320198957078657,,1.3424012705750936,,1.4824313806249816,1.4291542720051922,1.4277086359562368,1.3882197331826525,1.3948072834764933,1.4774172639501109,1.4467079094689443,1.4781108044552933,1.427584875457826,1.4738861248972868,1.4294866518714873,1.4198584044236628,1.4242565243559884,1.476282997610696,1.444530944079464,1.3639741471397733,1.418323176466787,1.345863385456566,1.4121782747308893,1.302939989083454,1.343932028982808,1.440300754753266,1.4354806018194919,1.4247509057679604,1.4205512103458686,1.36473983324238,1.4350754818882152,1.4190781403701636,1.39969017573131
Samurott,Fury Cutter or Waterfall,Hydro Cannon,50,1.1820051907255211,1.206758896463206,1.1818627769044119,1.209421158178553,1.165552810844986,1.1023062537106312,1.106290694408521,1.1305996664528433,1.1534620239182118,1.1831942671854674,1.134837047224626,1.2000200890097663,1.1168518411533221,1.1947465428412452,1.1320343823589825,1.189811486164788,1.135832263390392,1.1755501490988762,1.175899682343056,1.2145289051458745,1.14632440377032,1.2054801719061417,1.163181178988856,1.2151421293891904,1.1236738803345476,1.214050416141054,1.1290007772393251,1.2141929514250032,1.1131677131937867,1.1669076806924699,1.1284039151764993,1.1964941374431832,1.1377656531142282,1.1742893160689427,1.162596731688779,1.240115233795538,1.1046862181882076,1.163359701451241
Shadow Sharpedo,Waterfall,Hydro Pump,50,,1.166860738998602,,1.1675960375934007,,1.1091566283457488,,1.1627699966592664,,1.198406076935984,1.200202821733218,1.1680187407281493,1.117961269431933,1.0927241176853326,1.2513717904187798,1.214903661518428,1.2040589922616634,1.1891736588406234,1.3498404041882563,1.220129037591613,1.1439376702091293,1.1596190403442022,1.1811459940639435,1.1710326768697488,1.1292861362174809,1.1497761538539546,1.0705841852082962,1.0757644061634826,0.9664026543537964,1.0074287523477021,1.099316194118022,1.0849878125767178,1.1499589357738003,1.1594499838754386,1.1178041759301027,1.137119218200591,1.1325241462943783,1.135265914498308
Shaymin (Sky),Hidden Power Grass,Grass Knot,30,1.3394449532905197,1.327265417816286,1.344700629096765,1.3329390358664428,1.2641192120973934,1.1709323395416835,1.2258831146630291,1.2435876147431673,1.281095355654606,1.3048056438097762,1.2765602399864011,1.3098642832859437,1.2575667163327242,1.3155072940264523,1.2629473049252617,1.298483624239927,1.292487675439723,1.3036336788998732,1.2299859873624932,1.2945420642988732,1.254898149457362,1.2960768539420797,1.2799854341896697,1.3175970471539924,1.2253909553360482,1.2773542962718683,1.21199239175416,1.2831378440527756,1.180074391053972,1.2401808154363585,1.3001493599187148,1.3300617594601958,1.235479723074492,1.2726095820302639,1.23194561790985,1.3153963162308349,1.2746404689741784,1.2992312646929847
Empoleon,Metal Claw or Waterfall,Hydro Cannon,35,1.2924865785087043,1.3093428887161065,1.2398818603838806,1.2582222555359304,1.3439750805568211,1.2678161639356302,1.2388814264633323,1.2602205732044214,1.3168770274409385,1.2606616686257552,1.2581286121584867,1.3097438458091235,1.3293478929160643,1.3917644937014697,1.3468896524858782,1.368696902721526,1.3166539795693561,1.3596719829251285,1.3749621849898352,1.3796523864013206,1.335156111601389,1.356458371593989,1.3489160496740729,1.3644048573745615,1.3631959106695992,1.367174341992766,1.2013335846535738,1.2898915123949253,1.2555408632666831,1.3070722120426785,1.2198559208173678,1.266197656366321,1.3566873948139397,1.3409862157520365,1.3312842123158775,1.3822357527925617,1.2265053936649828,1.2919913217043077
Shadow Gyarados,Waterfall,Aqua Tail or Hydro Pump,45,1.1460848406769342,1.1202122597093034,1.1468419492029576,1.1217648796819648,0.9885416261443651,1.0002594033250891,1.1638009758801364,1.0602265369732105,1.0983870385460983,1.1152288614270869,1.1026045207998516,1.1211714983310668,1.0624223843891833,1.110336893000707,1.0547229554598843,1.093222406315474,1.1108187936842402,1.1178931925353204,1.039450022980378,1.1044688564661296,1.0744850318897485,1.107964121391783,1.085365569520929,1.1196777032618246,1.0306051122781597,1.0861025695263917,1.051442654888846,1.1140007765742221,1.0046978585710404,1.0500746632513065,1.0737614416684176,1.0860078210063546,1.0595425617642766,1.0871439245149186,1.0711065801372783,1.1154235607355718,1.1034318177321423,1.0991066381489183
Empoleon,Metal Claw or Waterfall,Hydro Cannon,30,1.3764094621999194,1.3896546410878357,1.2832629741106933,1.3029023161355473,1.400841306607459,1.295604767858565,1.2759410238811666,1.3031728273153476,1.4266827859124545,1.3507656452538328,1.2989671544690318,1.3480262547904562,1.4202422165584703,1.4733612904038944,1.3971056625422333,1.4048026161940168,1.3971481869727949,1.4153493355209232,1.4410961767006836,1.4544354192740834,1.400274447407783,1.4155816892763438,1.43198381376206,1.4335154936479386,1.4089120881486874,1.3965334993571137,1.2992589954843499,1.395614417463582,1.3063239081424727,1.368615761944807,1.31106044835992,1.3468265662147039,1.4249753370136284,1.4017686057234602,1.4116563314087303,1.4496593440765118,1.263801601478681,1.3167113632685608
Clawitzer,Water Gun,Crabhammer,40,1.3231252293823703,1.2821707800393733,1.3212421358108757,1.2854880548536738,1.297406412115717,1.1909171207285254,1.214266957439374,1.1990624896995263,1.2848852667384003,1.2783651574532744,1.2801051196068736,1.3017814895228086,1.2697907595797495,1.316085014625032,1.2808788390593167,1.302236664187449,1.3278017951483867,1.320167111791018,1.3334276582115236,1.3281451392754242,1.2912303055814238,1.3091839388132884,1.2757962680560053,1.3094559767548304,1.2584549050565212,1.3050297311912458,1.2400393847371904,1.3226139131825136,1.2037656829837031,1.260828941166695,1.2446759297453351,1.2864841113822523,1.2839506179194453,1.2800287591139807,1.3202651300389674,1.3746629924494038,1.2752220595131556,1.307901740680461
Shadow Sceptile,Bullet Seed,Frenzy Plant,50,1.1070629460472523,1.0648793213144843,1.1095243939067183,1.0670220810897535,1.0508609118272285,0.9500385469341873,0.9876201003272544,0.9872043540189627,1.0621179976018669,1.0466312267284918,1.018012694708864,1.0394021587958957,1.0332266757464128,1.049726900660783,1.0396735079919974,1.0273744779457457,1.0339363657240068,1.034379338184285,1.0217069197903368,1.0492027846615153,0.986917537384385,1.0358941562638313,1.0373125253191813,1.0508523704766506,0.9834466620842431,1.011599301679325,0.9684664840648646,1.0323914455520773,0.9488427363186217,0.9769339978768606,1.0302346664863782,1.0358743772607222,1.0226671440120225,1.0137188746420234,0.9717987665428184,1.030624002093228,1.0077561696248458,1.0266108808511119
Shadow Cacturne,Sucker Punch,Grass Knot,40,,1.290928852512429,,1.2922515368465517,,1.2169652501342463,,1.2480422065272134,,1.4672983014849945,1.3018567846767213,1.3030128492397082,1.158962029937443,1.1632551145706955,1.4173081508447156,1.364164645133109,1.4453568236491658,1.4257954080635755,1.2951821052892947,1.2015154381158943,1.3988957094432983,1.4176658860138542,1.3458616338209397,1.323064953142134,1.2695361945128893,1.282565983443769,1.2290814143228328,1.3010613846140135,1.2498519389762228,1.3154411817375644,1.4286330472489919,1.3372948140428893,1.4817007461566793,1.4248576135597655,1.2113377317463894,1.288658765151539,1.2704117744573287,1.2658346458797054
Torterra,Razor Leaf,Frenzy Plant,30,1.520104290239812,,1.5218231083348837,,1.5524267390111701,,1.4252241693716183,,1.465206462653536,,1.4306993679688464,,1.512391019214936,,1.443711895029222,,1.424277192214213,,1.4798340939045787,,1.4462049763501743,,1.4659660597077968,,1.4193818125573532,,1.4212654435245775,,1.3833356398475884,,1.514711144658404,,1.4245472189699997,,1.4430680333966823,,1.432915391661972,
Rillaboom,Razor Leaf,Frenzy Plant,50,1.089024266083118,1.0930881555803895,1.0880639078408558,1.0922871876294376,0.9951001947615435,1.0030446715430372,1.0475082153473059,1.064881419300963,1.059225002435143,1.0798268789369563,1.0491442854493755,1.100497917696872,1.078809393980049,1.1356541067137595,1.0476124033070713,1.0982207598763785,1.0615492973123966,1.116724149342697,1.0651022273918722,1.1211201292837194,1.056019667466822,1.1060726229230218,1.0696968763176307,1.1252338458925242,1.0582137476789566,1.1066636806099255,1.0624251010923251,1.1160800214642028,1.0437138413299656,1.0904739051100991,1.0440831006105984,1.0893245847124653,1.0592886095737943,1.0930320789977397,1.0820958611430107,1.143575883582787,1.035996260730712,1.074384121395871
Venusaur,Vine Whip,Frenzy Plant,30,,1.4671220400772274,,1.4724925723938926,,1.3393367236941944,,1.4084291440318133,,1.456175090974441,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samurott,Fury Cutter or Waterfall,Hydro Cannon,45,1.2059737511516175,1.2247935960302685,1.2039644399506109,1.22819368839192,1.1842503462043679,1.1265961848260508,1.1482804503200885,1.1835495284785673,1.200719916789635,1.230297764050661,1.186383128322413,1.2460695079737916,1.142826069696392,1.236067512825813,1.1877676228248917,1.2373940348586256,1.18603486507665,1.225100184124869,1.1993259861275105,1.2395126914738923,1.172003655687145,1.2490910893438452,1.2117310090168227,1.2632240346392707,1.1680450836909502,1.2346510252759206,1.187938676974521,1.2684923565702129,1.164549974236761,1.2129625910129989,1.158357986152959,1.2374091299328096,1.189601472392512,1.205422022110081,1.1950033478698232,1.2878644409073998,1.1502521421221874,1.2216591158956704
Shadow Vileplume,Razor Leaf,Solar Beam,50,1.4310712960570904,1.2869036160276874,1.4278419090634564,1.2876567868343587,1.3471207321608862,1.1453856565776286,1.1430832377680802,1.1202058991174426,1.2606949886462173,1.2235751235338341,1.2276765708060329,1.203499157806898,1.2254190921495063,1.2184389733514698,1.2055065855269667,1.196194163881944,1.26353590511963,1.2192983910604187,1.231779752640065,1.2030613381724964,1.2006499842081682,1.190827762852736,1.2207439686797497,1.2036241660171676,1.165047480038029,1.2018893102589596,1.1124290052467312,1.1594887646151388,1.1005795893067516,1.1206482689920914,1.2152267423412602,1.1965681807556174,1.2032697985292033,1.177479508423507,1.129916109836694,1.182973330103617,1.1758683281542242,1.1763016280830192
Shadow Sharpedo,Waterfall or Bite,Crunch or Hydro Pump,30,,1.3556723128039638,,1.3559253025460962,,1.4268772565998789,,1.3589304843084546,,1.4827741738167535,1.3536426783285944,1.4131472910742984,1.331994659379326,1.308480599304189,1.5328695162222046,1.400121100833803,1.5129323902523044,1.4022974133769799,1.5900459817493304,1.3807828371287334,1.4236003100941494,1.4111011971996177,1.5393773679776144,1.401953682526965,1.3584253865822289,1.3941411264460528,1.3203054339045281,1.2734882109834305,1.213455526059552,1.2054985771720035,1.3639425587913026,1.3447801730765372,1.4631638062406815,1.4164472585285808,1.3792174402019646,1.3937717501547755,1.3396357893696318,1.3814013683379682
