Attacker,Fast Move,Charged Move,Level,Arceus (Flying),Arceus (Flying),Articuno (Galarian),Articuno (Galarian),Moltres (Galarian),Moltres (Galarian),Lugia,Lugia,Thundurus,Thundurus,Thundurus (Therian),Thundurus (Therian),Tornadus,Tornadus,Tornadus (Therian),Tornadus (Therian),Yveltal,Yveltal,Zapdos,Zapdos,Mega Aerodactyl,Mega Aerodactyl,Mega Pidgeot,Mega Pidgeot,Aerodactyl,Aerodactyl,Braviary (Hisuian),Braviary (Hisuian),Drifblim,Drifblim,Farfetch'd,Farfetch'd,Fearow,Fearow,Golbat,Golbat,Noctowl,Noctowl,Swellow,Swellow,Togekiss,Togekiss,Togetic,Togetic,Tranquill,Tranquill,Xatu,Xatu
Mega Mewtwo Y,Psycho Cut,Ice Beam,45,0.8882365157266894,0.9553853107620702,0.9793864244854185,1.0517433146568793,1.0170583868763488,1.1011393560417988,1.036506003132069,1.1080563772402994,0.9188056340042183,0.9905869052300432,0.8551379405696297,0.921119690298428,0.8886820099099606,0.9593089037918822,0.8791724555086147,0.9344674737966296,0.9631180378849444,1.0507657493914542,0.9079468037771296,0.9721322984130123,0.8661059643426908,0.9281032214727531,0.8969863491648131,0.9540722699168336,0.928097807500855,1.0070961735760156,1.0103788672585894,1.1053769370760491,0.9627454147637998,1.0403089619524517,0.9202076306781849,0.999648933635919,0.9223077594103023,0.9975138483011297,0.8930325191257982,0.9294611056081266,0.9330369627479532,0.9810991427111159,0.9161204076128382,1.0044326137176496,0.906095091810375,0.9623542553934232,0.9517282021061263,0.9947474954520997,0.9264458169567659,0.9504425015373921,1.0387678342543758,1.125118194616629
Shadow Tyranitar,Smack Down,Stone Edge,35,1.082483042539481,1.120081114840412,1.107336871564483,1.1661610697306914,1.0995318365868807,1.150171157397621,1.183727419781013,1.2322551540578337,1.1269818217566938,1.1703785793443677,1.157658519983834,1.1126922340629186,1.0908954945659948,1.1301343436926958,1.1594677100758928,1.1195743192794427,1.1522439587920819,1.118468006387113,1.1372324121224107,1.176623325258318,1.0702034761678187,1.117408827563044,1.0748162387570996,1.1179460340784428,1.1434529011665464,1.1824011095489608,1.150708652732587,1.1911432195444769,1.1683725164833552,1.2390049780466674,1.1100342289704979,1.1467708163546773,1.1051816635408034,1.1573799450429625,1.187380134460157,1.2531138696284432,1.1248228044629167,1.1852573313146704,1.1142042989317167,1.1729188409535984,1.0816518885708302,1.1413809956014802,1.1314578048801318,1.177286974642787,1.1062805807331355,1.1587925456538595,1.14865205606102,1.206562165115253
Avalugg (Hisuian),Powder Snow,Avalanche,30,1.446940938256825,1.5110540348219657,1.5168154403809313,1.5815836395021212,1.507799173135253,1.5811928417043968,1.5216209423273979,1.5898742661227436,1.5126617631287311,1.6007891538269043,1.5507221406844913,1.5151468742688192,1.5048097556323343,1.5532085990367483,1.5734233084767548,1.5392667781904787,1.5343497648606006,1.5278199123389662,1.4996924902358233,1.5809660354971078,1.4938145484060568,1.5609868734081558,1.417345182620598,1.4988979357682748,1.5284416916821828,1.6162176539879167,1.5372414934098053,1.605647162631666,1.5710362854080089,1.683402105757794,1.4942763644570383,1.5701819276051003,1.494689667204606,1.593852226632355,1.5665029821492549,1.6576429429492718,1.5028495935351354,1.6098226598134988,1.4793789650198765,1.5588142171980723,1.4894295887733018,1.5754101794316833,1.5376771118911579,1.629386695363277,1.5020988743616481,1.5912275072859015,1.5160324431089913,1.589890945767057
Avalugg (Hisuian),Powder Snow,Glaciate,30,1.336015783188827,1.3912798492534442,1.3811000854556719,1.4358106635793988,1.3488972678723883,1.4398228942887996,1.4022066263235569,1.4586173784712153,1.4220364279841275,1.4819781575090265,1.5066981473209538,1.38809903643673,1.3749311808286044,1.4193482661903873,1.5216138818792706,1.4043872333588514,1.4165440693675502,1.3794641752611656,1.3871597369852178,1.4468680476590694,1.3889501525371546,1.4844803940776399,1.2908510217158653,1.369907775507671,1.3963502678876774,1.4706368507048677,1.4171951690288425,1.480041912535157,1.4728263263777737,1.5580551843639407,1.3704878568652281,1.43677670925436,1.3254786932437737,1.4271710210668644,1.3808299437290565,1.4999789247402473,1.3332336859564702,1.4671404738714935,1.3517243805480963,1.4103451106394456,1.349235495357118,1.445011519932975,1.3803752765037964,1.4953666931427059,1.3089623272105024,1.403104195074998,1.3547414427097562,1.4654031224391166
Avalugg (Hisuian),Powder Snow,Blizzard,30,1.6298677302809395,1.7209951838063504,1.711375836319229,1.7910485657279174,1.6540326452625698,1.7726318583809773,1.7107373251100413,1.7961706268649023,1.7462441461409215,1.8524090194115752,1.8070852742858357,1.7286112351902663,1.6938446399077498,1.7664613290445081,1.8502310811193965,1.738395380267846,1.7373537634674638,1.7232187548174553,1.7243684184505859,1.8038186582290996,1.7040947129782529,1.8305802009572056,1.5646594671846537,1.6954209818268435,1.725842611239883,1.8524432876087702,1.7298626812992886,1.8291292119340428,1.7382487261193262,1.8913346745179813,1.6385270258409919,1.7387564727860876,1.6687966153443539,1.7831704976665068,1.7298362452317224,1.8462454424750785,1.6713275923586535,1.812572927414922,1.651641122459749,1.753122178313027,1.674579347901976,1.795727152132933,1.7292440663779924,1.8553810414478125,1.6635250394374481,1.8062083901499961,1.6940387888466306,1.8071063856611544
Darmanitan (Galarian Standard),Ice Fang,Avalanche,30,1.2750300057721027,1.2785070105088918,1.3709249865942599,1.374758175606669,1.250912320546917,1.31197184137175,1.2654473509528321,1.3516488473857535,1.2255188038465663,1.332968398098166,1.2648352583328015,1.2608342373386083,1.321900319494358,1.3044885272480569,1.33684160783313,1.2972998005803018,1.3176808460831353,1.2595250012846546,1.2942186186780047,1.3042290008404607,1.4150298077192196,1.327137619300848,1.325003270966898,1.3294383665965506,1.2940779724132692,1.3355340654329901,1.2720344123972867,1.3469916726410411,1.2986974845445602,1.3784637072497394,1.207392454580789,1.278470855222739,1.2110611942251495,1.2942164260478912,1.2918080465341735,1.3549073742333875,1.2385365336213465,1.3148824964560892,1.2168814568992812,1.310036703917821,1.2379040703763178,1.3090204566082524,1.234953496118271,1.3338543134592227,1.2248602978529985,1.2819443330392235,1.264745435061251,1.3412725095081004
Avalugg,Ice Fang,Avalanche,40,1.4058032537556842,1.4957213143291685,1.4914326425508613,1.5762573447350021,1.4800813427785342,1.5652503781193825,1.5124554517977173,1.5952529177864136,1.4786401172559251,1.5725163550566617,1.380328845213026,1.4722566098738645,1.443637640510324,1.5292812027206872,1.4174185072821268,1.486877049722608,1.4038060038101907,1.4807463558626885,1.4546774113808276,1.5469303406338062,1.4470458171233451,1.5178538442161829,1.417925569567595,1.4998641290673216,1.4794524451875215,1.5596192575141545,1.5190095406165554,1.5860034191804997,1.5558231398405262,1.6408317302750408,1.4513835776170116,1.5374073749012624,1.4374100405635277,1.5388188598595542,1.563910725199688,1.648612194145293,1.4655204003895892,1.5643738126693605,1.4664680980803735,1.5668468637498976,1.4283809257837046,1.541367032046359,1.4997822132260628,1.6026885990759008,1.4721932568647897,1.5337691505574718,1.513920699291883,1.599714231682461
Shadow Aerodactyl,Rock Throw,Rock Slide,45,1.0776393626865626,1.111873429087122,1.124776649948177,1.1671482627487166,1.096752679608755,1.136955413866617,1.1518679633174151,1.19943545424666,1.2089715976119828,1.1987697958745933,1.1918363005977068,1.110824665518048,1.1077328905786012,1.1342266459161512,1.0635269878174411,1.093933293638417,1.0745518458109786,1.0923543058772478,1.2095931181094577,1.1791842586641617,1.10127627417504,1.1194659800162332,1.061641790544054,1.1181137759706385,1.1253182353611735,1.183731048371775,1.149076269784371,1.1903601169139137,1.156331223659672,1.2043789189268566,1.0758679488947678,1.1324774001028122,1.0766236315261482,1.1407837920355912,1.1525005795696432,1.2176968956142384,1.0927492068390245,1.1545145083366282,1.0938940159714812,1.1409993315899951,1.0940375619632758,1.1467639461006773,1.1292116118783468,1.1796100335647852,1.089115264297746,1.148766075773375,1.135771469395474,1.1858964930343974
Glaceon,Frost Breath,Avalanche,30,1.3693901422258328,1.3823789003686204,1.4248568001682584,1.464257359893436,1.3694082984709721,1.4181090917433148,1.4445424021550697,1.4956995276118297,1.3881577771422442,1.4671625317270223,1.3765405313423946,1.3517899304447705,1.3734225778902969,1.4313759065706593,1.4016482841399907,1.3740111712835634,1.388329244642038,1.3767102561125777,1.3824749097740643,1.4168566767192365,1.4386688684262083,1.4340031906854376,1.3750272580574818,1.4046672504084516,1.4465364593228713,1.4891135007789642,1.4012794352837368,1.4489935476755087,1.4352046285554854,1.526850614546469,1.361886730945246,1.421831312612059,1.3538513542984254,1.4235726436079732,1.4596198023140634,1.5369449303462666,1.368740296434874,1.4248449840403477,1.3825064202539958,1.430010436577272,1.384702925364798,1.4311596732528102,1.3927336083425146,1.458231913021941,1.380618165289698,1.4437715569102432,1.3984681977684856,1.4539513773612658
Kyurem,Dragon Breath,Glaciate,45,1.2099212978374465,1.2433613183604784,1.2661100994961716,1.2979105993455347,1.2101803010862637,1.3250007783605924,1.2514471318369005,1.3377929870012697,1.2781476781181853,1.3986187573731812,1.1619743475208983,1.2294705719694552,1.303383085439814,1.3570663741942195,1.2083605054485997,1.2618824841456613,1.231791684191895,1.2610209103729686,1.2193958570227912,1.3241647303109705,1.213246942259789,1.3025189621875786,1.2327049722051686,1.3143751446773821,1.241155906828286,1.325075046547859,1.3347157116858765,1.3957535984117355,1.3774945300224672,1.4569230091484457,1.269869729302757,1.3894454405255965,1.2353665983338422,1.3401011907358136,1.3501338278994288,1.4505574406204556,1.2581413514112962,1.3657605184235142,1.274939315407437,1.3447353917234426,1.6006353417580117,1.727731620470572,1.587187305166244,1.7249054122148488,1.3039891981497822,1.3850832865431406,1.3182639574709505,1.4020823264903028
Kyurem,Steel Wing,Glaciate,45,1.2954705790732262,1.3259817919172237,1.3802095274547663,1.4197692507375526,1.2948987066104936,1.4144893053254612,1.3064787425323356,1.3867177077895714,1.4971043506238157,1.6593657276659635,1.4439346563716418,1.5433518388530831,1.3168304599071428,1.3504987493334835,1.3176519511941553,1.37149148922094,1.2997070987166774,1.3206155684930334,1.4492747317941366,1.5770900281801552,1.054401186711075,1.1205295418287664,1.2933772146123317,1.3590347460555494,1.1323099137439678,1.1898107687046398,1.3598522031654994,1.4389676280813986,1.4057034611374617,1.4792875078929206,1.3213260278094712,1.450330378524769,1.315501373925939,1.4303114232128058,1.4197664861219415,1.5408227781407406,1.323117869989103,1.4380273676698907,1.3303938928433223,1.3891787938131033,1.07746282203449,1.1284647071144314,1.112386516009463,1.170804615371476,1.3319296275500656,1.3995748776770676,1.4065894812044295,1.4935386942909374
Kyurem,Dragon Breath,Blizzard,45,1.41325506891402,1.4535758023680891,1.481471656570518,1.518312335744156,1.4210308116088795,1.5533979946153833,1.4785891511835483,1.5684241053303174,1.5082579630357844,1.6531767239838415,1.3546444600429668,1.439257226724523,1.5333214841531666,1.5904988360348018,1.4105361649040233,1.483907491942877,1.4435389478772744,1.4826571608559036,1.4364858852029465,1.5530666930340633,1.4292395533040387,1.5520753449578772,1.4554125276354768,1.549213793751279,1.4558365315195503,1.5510791503590837,1.5739370209011194,1.6501737164286108,1.6137241369183102,1.7437260459037578,1.4905024010431684,1.5929134746793383,1.4495572905308152,1.5576285602128495,1.5668085734156674,1.691363358553394,1.4636785311333764,1.5829950144167253,1.4910233708971938,1.5764860396120877,1.9454374083641697,2.1046708091880193,1.915652463552743,2.0808031634596498,1.511884708965001,1.5960535814550414,1.546122165955748,1.6546510894917106
Kyurem,Steel Wing,Blizzard,45,1.5145111884118165,1.551417524592517,1.612882016223314,1.6695442427320044,1.5201611779955002,1.6674532205284003,1.543406221603542,1.6192319342136638,1.8026378114610515,2.0002636470882633,1.7137408801820773,1.861078850530704,1.523556748180356,1.5829038005522873,1.5427599308174316,1.6246127382876367,1.5115381028599268,1.5453806669927468,1.739221832204479,1.88274286844317,1.2126367936410198,1.2820873799994401,1.5133874804161342,1.6115097776748961,1.289936162936505,1.3478549986700612,1.6013345833563117,1.6927480284564054,1.6631521755091851,1.7898207022129546,1.5640508043181163,1.6990232832227892,1.5504645178174206,1.6836917171893402,1.6420472507323653,1.7855803072772871,1.5519243194244883,1.6708936441045719,1.5625315149454133,1.6362325128698243,1.225211198771207,1.2939537806325492,1.2722505487372637,1.3409088968032319,1.540065773642416,1.6202240581802625,1.646529806055767,1.7636738038704798
Kyurem,Ice Shard,Glaciate,45,1.073780605124039,1.0955283001004772,1.1005837891916574,1.1260347999749885,1.0835205495389648,1.146067968085577,1.0991087137250353,1.1674329279688598,1.0478184320594859,1.1237242162084866,1.039250845510816,1.059551613383532,1.068056199794518,1.097931306545516,1.0683943406390881,1.094897313032219,1.0539364676371679,1.0706978815567352,1.0384476195184653,1.1074306619864538,1.0321419575135045,1.084933807271404,1.0703140463705687,1.1090255202514787,1.079976821066231,1.156201314739522,1.1060166547179175,1.1738598135995146,1.092189312618394,1.183908721126595,1.0886567950148576,1.1553092518525019,1.0805491342085751,1.1457669996074498,1.1257560749436237,1.1923538957617652,1.0828166134678252,1.1603197716467855,1.0629595318784666,1.1225535607490884,1.0848844515813727,1.133016826083921,1.1087140331548335,1.1663293106835089,1.064008983717013,1.1041148632389508,1.1060074383812066,1.1681935660103802
Frosmoth,Powder Snow,Ice Beam,45,1.3742307680561452,1.4456750458866896,1.5799465286238605,1.5676644074283905,1.5307763778211474,1.5509432911052228,1.488133583383279,1.590166850337374,1.4016328245093481,1.5201019733314267,1.343928275157935,1.4228511262842192,1.4977522683232398,1.5335642478443885,1.518710482293232,1.5211280917141587,1.389269421600851,1.4627573829584362,1.4091086171948386,1.4959232708755623,1.6031878865907245,1.5140614067004394,1.4826638754415806,1.5554269534382057,1.5162537523273931,1.5280712087243988,1.4887994264600453,1.5417305465173992,1.4319446687910249,1.5493032203116053,1.377158117782765,1.477011422194917,1.3817769442142451,1.4916692109739609,1.463877004784084,1.557472233345276,1.3941793074185866,1.4974011321227785,1.4939198142523775,1.548647349226638,1.4242826223556517,1.5416951755917057,1.4185605575341413,1.512934826240317,1.406098767412636,1.5371246758108073,1.4371835010821374,1.543012334264882
Kyurem (Black),Ice Shard,Avalanche,35,0.9734284763175817,1.020965865189334,1.006741713547282,1.0600103456312444,0.9972159270602385,1.0505917998482606,1.0268777913114089,1.0800559390084359,0.9932747649519178,1.0583665498873913,0.9602407844638716,0.9893859145342777,0.9682564798397759,1.0195706550718104,0.9679756537847212,1.0146341924447342,0.9743354528550738,1.011550473609385,0.987507786621842,1.0517071241409996,0.9598673346581208,1.012547230541017,0.9642978156650799,1.0288784441604015,1.0071816696431966,1.0704297602310295,1.0376440743396018,1.0857221640103678,1.0494133540874315,1.1204422972437187,0.9908346602806023,1.0544905149391275,0.9801544031055088,1.0580429188293279,1.0521401926278742,1.1393496174840354,1.0087464681433767,1.0700392482087582,0.988144517278985,1.0631471557395313,0.9927598966696921,1.0508552677511696,1.0217615960781299,1.090642001246936,0.9993449373011417,1.0462821849683164,1.0369502637053225,1.0969721165766637
Kyurem (Black),Dragon Tail,Ice Beam,35,1.1270763536191695,1.1936341952803133,1.1697176173215424,1.2472113218343979,1.168676475648784,1.249629254559964,1.2138210596188672,1.2817250868407994,1.1602974296643191,1.2541960104386372,1.117948227086125,1.1769212770935698,1.1327375507744595,1.2165755580313597,1.1235457011350856,1.192569489731303,1.1172670920935686,1.1910671769759418,1.1462421515795718,1.2448034804963661,1.1042318564751321,1.2006213440062694,1.1114913260667545,1.2003542708763173,1.1766253752327394,1.2643063419082723,1.1981139359179396,1.27874041802239,1.2134539420549495,1.335570272691229,1.1713329237559085,1.266108303973319,1.1450364199415537,1.251701051162385,1.2461906467997217,1.34044974604312,1.1944570343011987,1.2783536967569602,1.1685214067098983,1.2495866411810923,1.3549814982894646,1.50874118550583,1.444737673695628,1.5958133695457224,1.1708510467634556,1.2355551990588487,1.2194217394045093,1.3085877581895737
Kyurem (Black),Shadow Claw,Ice Beam,35,1.1509267431597527,1.2375769995449506,1.0791251309783443,1.1416877779440995,1.3495838638475266,1.469174462562494,1.1149572401703949,1.1776695087291922,1.2228153040431844,1.3305084367068243,1.1642737115265989,1.2410652372747963,1.187233664387867,1.286157701027844,1.1796951052387838,1.2589639626867788,1.2746420571224113,1.3819535506905734,1.2055371533099322,1.3187699609432935,1.1336561336729267,1.252895407092278,1.3137041771085995,1.4598174297245343,1.2277425238439033,1.3284853896720752,1.0994650636960237,1.1684332432581481,1.1390181940997666,1.2083584193600494,1.4613638928244541,1.6161590832152664,1.3715488288916997,1.549395908753871,1.292777508482792,1.4115365971885603,1.4749804723285664,1.586495530332983,1.399908533367731,1.5371319347538024,1.1859317182154576,1.3041401940934163,1.2542895453807852,1.378026595608394,1.494264859228363,1.593259538515013,1.1042318925847323,1.178668235590763
Kyurem (Black),Dragon Tail,Blizzard,35,1.2198682494647826,1.2429169580713235,1.2852059368006987,1.3217434472931773,1.2724966694359918,1.3280339266899028,1.295872242522669,1.3527663386372277,1.2338884817502591,1.3148482465234332,1.2161806308893284,1.2356348244102695,1.2326131343827083,1.2753547167684685,1.2067292334155584,1.2523160093377563,1.243035743853165,1.2580290921963408,1.2215217283828546,1.2942977208681465,1.2144392510285762,1.2832600968401018,1.2123813645467447,1.2731911553055084,1.2735399171638107,1.3291598586465023,1.3023107042408868,1.3391937351789556,1.2691082101058753,1.4064964243234115,1.2388755845881865,1.3000112842759883,1.2371330745409344,1.3005190386880099,1.299173849817699,1.3831271470420872,1.2679196520699332,1.3211409946093984,1.2424921139345897,1.3173071285340714,1.623472736158626,1.7404873280737276,1.68232169241675,1.8106023725947373,1.201612256356782,1.2993369161252373,1.2843499821394802,1.354804479838625
